Company,Name,Kill,Id,CommandLine
,Aac3572DramHal_x86,,7352,
,Aac3572MbHal_x86,,4752,
,AacKingstonDramHal_x64,,10104,
,AacKingstonDramHal_x86,,8500,
,AcPowerNotification,,292,
,AcrobatNotificationClient,Y,20696,"""C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe"" -ServerName:App.AppX9n879r3et3x3b24eqasexpgc3412rn2m.mca"
Adobe Inc.,Adobe Desktop Service,Y,22472,"""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"" --onOSstartup=true --showwindow=false"
,Adobe Installer,,24564,
Adobe Systems Incorporated,AdobeCollabSync,Y,19856,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AdobeCollabSync.exe"" "
Adobe Systems Incorporated,AdobeCollabSync,Y,19880,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AdobeCollabSync.exe""  --type=collab-renderer --proc=19856"
Adobe Inc,AdobeIPCBroker,Y,20308,"""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"" ""-launchedbyvulcan-19076 C:\Program Files\Adobe\Adobe Creative Cloud Experience\libs\node.exe"""
Adobe Inc.,AdobeNotificationClient,Y,23892,"""C:\Program Files\WindowsApps\AdobeNotificationClient_2.0.1.8_x86__enpm4xejd91yc\AdobeNotificationClient.exe"" -ServerName:App.AppXbdz14xebceycqvrazxqtnx89wn9e0ebz.mca"
,AdobeUpdateService,,5280,
,AGMService,,5348,
,AGSService,,5404,
Microsoft Corporation,ApplicationFrameHost,,19872,C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding
,ArmouryAIOFanServer,,3216,
,ArmouryCrate.Service,,5304,
,ArmouryCrate.UserSessionHelper,,7052,
,ArmourySocketServer,,5320,
,ArmourySwAgent,,13120,
,armsvc,,5268,
,AsSysCtrlService,,5340,
,AsusCertService,,2824,
,AsusFanControlService,,5412,
,asus_framework,,11200,
,asus_framework,,14524,
,asus_framework,,16668,
,atkexComSvc,,4056,
,audiodg,,16104,
,AutoHotkey,Y,21252,"""C:\Program Files\AutoHotkey\AutoHotkey.exe"" ""H:\OneDrive\Code\AutoHotKey\PasteText.ahk"" "
Creative Technology Ltd,BlasterX,,21056,"""C:\Program Files (x86)\Creative\BlasterX Acoustic Engine Pro\BlasterX Acoustic Engine Pro\BlasterX.exe"" /r"
,BtwRSupportService,,5468,
,bzbui,,16232,
,bzfilelist,,29872,
,bzserv,,5460,
Microsoft Corporation,Calculator,Y,38480,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca"
Adobe Systems Incorporated,CCLibrary,Y,24196,"""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe"""
Adobe Systems Incorporated,CCXProcess,Y,19048,"""C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"" "
Microsoft Corporation,cmd,Y,23992,"C:\WINDOWS\system32\cmd.exe /d /s /c ""start """" /w ""C:\Program Files\WD Desktop App\kdd.exe"""""
CANON INC.,CNMNSST2,Y,20776,"""C:\Program Files (x86)\Canon\IJ Network Scanner Selector EX2\CNMNSST2.exe"" /FORCE"
,com.docker.service,,6768,
Microsoft Corporation,CompPkgSrv,,22816,C:\Windows\System32\CompPkgSrv.exe -Embedding
,conhost,,6448,
Microsoft Corporation,conhost,,11512,\??\C:\WINDOWS\system32\conhost.exe 0x4
Microsoft Corporation,conhost,,13624,\??\C:\WINDOWS\system32\conhost.exe 0x4
Microsoft Corporation,conhost,,19092,\??\C:\WINDOWS\system32\conhost.exe 0x4
Microsoft Corporation,conhost,,22624,\??\C:\WINDOWS\system32\conhost.exe 0x4
Microsoft Corporation,conhost,,23776,\??\C:\WINDOWS\system32\conhost.exe 0x4
Microsoft Corporation,conhost,,24468,\??\C:\WINDOWS\system32\conhost.exe 0x4
,conhost,,30788,
,CoreSync,Y,36740,"""C:\Program Files (x86)\Adobe\Adobe Sync\CoreSync\CoreSync.exe"""
Adobe Inc.,Creative Cloud,Y,22092,"""C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe"" --showwindow=false --onOSstartup=true"
Adobe Inc.,Creative Cloud Helper,Y,13608,"""C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud Helper.exe"" --remoteApplet=UPI_BL --remoteAppletInstanceID=2F6FC9B9-A6D2-4B27-BD32-6C4AF8E72CD8 --remoteHelper=CCH_UPI"
