"Name","DisplayName","DependentServices","Description"
"AdobeARMservice","Adobe Acrobat Update Service","System.ServiceProcess.ServiceController[]","Adobe Acrobat Updater keeps your Adobe software up to date."
"AdobeUpdateService","AdobeUpdateService","System.ServiceProcess.ServiceController[]",
"AGMService","Adobe Genuine Monitor Service","System.ServiceProcess.ServiceController[]","Adobe Genuine Monitor Service"
"AGSService","Adobe Genuine Software Integrity Service","System.ServiceProcess.ServiceController[]","Adobe Genuine Software Integrity Service"
"Appinfo","Application Information","System.ServiceProcess.ServiceController[]","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks."
"AppXSvc","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly."
"ArmouryCrateService","ARMOURY CRATE Service","System.ServiceProcess.ServiceController[]","ARMOURY CRATE Service"
"asComSvc","ASUS Com Service","System.ServiceProcess.ServiceController[]","ASUS Com Service Description"
"AsSysCtrlService","ASUS System Control Service","System.ServiceProcess.ServiceController[]",
"AsusCertService","AsusCertService","System.ServiceProcess.ServiceController[]",
"AsusFanControlService","AsusFanControlService","System.ServiceProcess.ServiceController[]",
"AudioEndpointBuilder","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"Audiosrv","Windows Audio","System.ServiceProcess.ServiceController[]","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start"
"BcmBtRSupport","Bluetooth Driver Management Service","System.ServiceProcess.ServiceController[]","Manages BTW drivers."
"BFE","Base Filtering Engine",,"The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications."
"BluetoothUserService_11153f","BluetoothUserService_11153f","System.ServiceProcess.ServiceController[]","The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session."
"BrokerInfrastructure","Background Tasks Infrastructure Service",,"Windows infrastructure service that controls which background tasks can run on the system."
"BTAGService","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]","Service supporting the audio gateway role of the Bluetooth Handsfree Profile."
"BthAvctpSvc","AVCTP service","System.ServiceProcess.ServiceController[]","This is Audio Video Control Transport Protocol service"
"bthserv","Bluetooth Support Service","System.ServiceProcess.ServiceController[]","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated."
"bzserv","Backblaze Service","System.ServiceProcess.ServiceController[]","Backblaze Service watches for any file changes so changes can be backed up.  See http://www.backblaze.com for more information."
"camsvc","Capability Access Manager Service","System.ServiceProcess.ServiceController[]","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities"
